product_id,name,link,price,original_price,saving,serving_size,weight_g,dietary_symbols,energy_kcal,energy_kj,protein_g,fat_g,saturates_g,carbs_g,sugar_g,fibre_g,salt_g,sodium_g,protein_per_pound,kcal_per_pound,grams_per_pound
996,Hearty Chicken Casserole,https://www.cookfood.net/products/pot-roast-chicken,6.5,6.5,0.0,Serves 1,380.0,Microwaveable | Gluten Free,460.0,1930.0,63.1,16.3,6.5,12.9,7.6,4.6,2.6,1.04,9.71,70.77,58.0
588,Coq au Vin,https://www.cookfood.net/products/coq-au-vin,6.5,6.5,0.0,Serves 1,340.0,Microwaveable | Gluten Free,520.0,2179.0,48.6,29.9,10.5,13.9,3.1,2.0,2.375,0.95,7.48,80.0,52.0
2464,Slow-cooked Beef Ragu Pasta,https://www.cookfood.net/products/slow-cooked-beef-ragu-pasta,3.5,4.25,0.75,Pot for One,300.0,Microwave Only,390.0,1641.0,26.0,8.6,2.9,50.3,6.3,3.8,1.025,0.41,7.43,111.43,86.0
28,"Liver, Bacon and Onions",https://www.cookfood.net/products/liver-bacon-and-onions,5.25,5.25,0.0,Serves 1,270.0,Microwaveable,297.0,1250.0,38.1,9.5,4.3,14.3,4.9,1.4,1.75,0.7,7.26,56.57,51.0
1622,Chicken Satay,https://www.cookfood.net/products/chicken-satay,6.5,6.5,0.0,Serves 1,290.0,Microwaveable | Dairy Free,618.0,2587.0,45.0,34.2,11.0,30.7,20.0,3.8,2.15,0.86,6.92,95.08,45.0
2465,Soy Salmon with Edamame & Grains,https://www.cookfood.net/products/soy-salmon-edamame-grains,3.5,4.25,0.75,Pot for One,235.0,Microwave Only | Dairy Free | Chilli Level 1,397.0,1669.0,24.2,14.1,1.9,38.3,5.6,9.6,1.375,0.55,6.91,113.43,67.0
2283,Creamy Chicken with Mushrooms & Bacon,https://www.cookfood.net/products/chicken-with-mushrooms-bacon,6.5,6.5,0.0,Serves 1,250.0,Microwaveable | Gluten Free,498.0,2070.0,41.3,32.0,12.3,10.0,3.5,1.8,2.25,0.9,6.35,76.62,38.0
1900,Sticky Soy & Ginger Beef,https://www.cookfood.net/products/sticky-soy-beef,3.5,4.25,0.75,Pot for One,270.0,Microwave Only | Gluten Free | Dairy Free | Chilli Level 1,367.0,1544.0,22.1,12.4,1.9,40.2,14.3,3.0,1.05,0.42,6.31,104.86,77.0
2570,Chicken Tikka Masala with Pilau Rice,https://www.cookfood.net/products/chicken-tikka-masala-with-pilau-rice,7.0,7.0,0.0,Serves 1,400.0,Microwaveable | Gluten Free | Chilli Level 1,752.0,3144.0,44.0,39.6,16.0,52.0,15.2,5.6,2.85,1.14,6.29,107.43,57.0
80,Minted Couscous,https://www.cookfood.net/products/minted-couscous,1.5,1.5,0.0,Serves 1 ,190.0,Microwaveable | Dairy Free | Suitable for Vegans,291.0,1227.0,9.3,4.6,0.6,50.9,8.4,4.6,0.9,0.36,6.2,194.0,127.0
1675,Lemon & Herb Chicken,https://www.cookfood.net/products/lemon-herb-chicken,3.5,4.25,0.75,Pot for One,280.0,Microwave Only | Gluten Free | Dairy Free,302.0,1268.0,21.6,5.6,1.4,37.0,9.2,8.4,1.875,0.75,6.17,86.29,80.0
2455,Chicken Balti,https://www.cookfood.net/products/chicken-balti,6.5,6.5,0.0,Serves 1,310.0,Microwaveable | Gluten Free | Chilli Level 1,468.0,1959.0,40.0,24.2,2.2,19.5,12.4,7.4,2.175,0.87,6.15,72.0,48.0
42,Pork Dijon,https://www.cookfood.net/products/pork-dijon,6.5,6.5,0.0,Serves 1,285.0,Microwaveable,373.0,1568.0,39.9,17.1,8.4,15.1,4.0,1.4,1.975,0.79,6.14,57.38,44.0
2569,Green Thai Chicken Curry with Coconut & Lime Leaf Rice,https://www.cookfood.net/products/green-thai-chicken-coconut-rice,7.0,7.0,0.0,Serves 1,400.0,Microwaveable | Gluten Free | Dairy Free | Chilli Level 1,588.0,2464.0,42.4,22.0,12.4,53.6,11.6,2.8,1.975,0.79,6.06,84.0,57.0
2474,Cashew Chicken,https://www.cookfood.net/products/cashew-chicken,6.5,6.5,0.0,Serves 1,300.0,Microwave Only | Dairy Free | Chilli Level 1,447.0,1872.0,39.0,18.0,3.3,27.6,17.1,3.3,2.625,1.05,6.0,68.77,46.0
1505,Tarragon & Lemon Chicken,https://www.cookfood.net/products/tarragon-lemon-chicken,6.5,6.5,0.0,Serves 1,250.0,Microwaveable,478.0,1993.0,39.0,30.3,15.3,9.3,2.8,1.8,1.95,0.78,6.0,73.54,38.0
1594,Teriyaki Chicken Noodles,https://www.cookfood.net/products/teriyaki-chicken-noodles,3.5,4.25,0.75,Pot for One,300.0,Microwave Only | Dairy Free,333.0,1407.0,21.0,9.3,1.5,37.8,13.5,8.1,1.425,0.57,6.0,95.14,86.0
1521,Mac Cheese with Ham & Cauliflower,https://www.cookfood.net/products/mac-cheese-with-ham-cauliflower,3.5,4.25,0.75,Pot for One,305.0,Microwaveable,332.0,1391.0,20.4,11.0,5.5,39.7,5.8,4.0,1.425,0.57,5.83,94.86,87.0
2210,Lime & Coconut Chicken,https://www.cookfood.net/products/lime-coconut-chicken,6.5,6.5,0.0,Serves 1,280.0,Microwaveable | Gluten Free | Dairy Free,392.0,1635.0,37.8,20.2,12.3,13.4,11.2,2.8,0.75,0.3,5.82,60.31,43.0
1593,Green Thai Chicken Noodles,https://www.cookfood.net/products/green-thai-chicken-noodles,3.5,4.25,0.75,Pot for One,320.0,Microwave Only | Gluten Free | Dairy Free | Chilli Level 1,278.0,1162.0,20.1,8.6,3.2,32.3,0.6,5.4,1.525,0.61,5.74,79.43,91.0
407,Garlic Chicken Curry,https://www.cookfood.net/products/garlic-chicken-curry,6.5,6.5,0.0,Serves 1 ,320.0,Microwaveable | Gluten Free | Chilli Level 1,438.0,1827.0,37.1,23.7,1.9,16.6,10.9,4.8,2.625,1.05,5.71,67.38,49.0
1123,Butter Chicken Curry,https://www.cookfood.net/products/butter-chicken-curry,6.5,6.5,0.0,Serves 1 ,310.0,Microwaveable | Gluten Free | Chilli Level 2,397.0,1665.0,36.9,18.3,10.2,18.6,15.2,5.3,2.25,0.9,5.68,61.08,48.0
771,Beef Bourguignon,https://www.cookfood.net/products/beef-bourguignon,7.0,7.0,0.0,Serves 1,270.0,Microwaveable | Gluten Free | Dairy Free,259.0,1096.0,39.7,5.9,2.2,12.7,5.7,1.6,1.8,0.72,5.67,37.0,39.0
1519,Keralan Chicken Curry,https://www.cookfood.net/products/keralan-chicken-curry,3.5,4.25,0.75,Pot for One,300.0,Microwave Only | Gluten Free | Dairy Free | Chilli Level 1,303.0,1275.0,19.8,8.1,3.3,34.8,6.0,5.7,1.1,0.44,5.66,86.57,86.0
2469,Turkey Laab,https://www.cookfood.net/products/turkey-laab,6.25,6.25,0.0,Serves 1,265.0,Microwaveable | Dairy Free | Chilli Level 1,435.0,1829.0,35.2,13.3,4.2,42.1,8.0,2.4,1.45,0.58,5.63,69.6,42.0
1307,Beef Massaman Curry,https://www.cookfood.net/products/beef-massaman-curry,7.0,7.0,0.0,Serves 1,295.0,Microwaveable | Gluten Free | Dairy Free | Chilli Level 1,484.0,2018.0,39.2,28.3,17.1,20.1,5.9,4.1,1.975,0.79,5.6,69.14,42.0
3,Chicken and Tomato Pasta Bake,https://www.cookfood.net/products/chicken-and-tomato-pasta-bake,6.5,6.5,0.0,Serves 1,390.0,Microwaveable,472.0,1977.0,35.9,18.3,7.0,37.8,9.0,4.7,2.7,1.08,5.52,72.62,60.0
62,Macaroni Cheese,https://www.cookfood.net/products/macaroni-cheese,5.25,5.25,0.0,Serves 1,350.0,Microwaveable | Suitable for Vegetarians,620.0,2590.0,29.0,31.9,17.9,52.5,9.5,3.5,2.475,0.99,5.52,118.1,67.0
46,Chicken Tikka Masala,https://www.cookfood.net/products/chicken-tikka-masala,6.5,6.5,0.0,Serves 1,310.0,Microwaveable | Gluten Free | Chilli Level 1,521.0,2164.0,35.3,34.1,16.1,15.8,10.2,4.7,2.175,0.87,5.43,80.15,48.0
2050,"Chicken, Pea & Bacon Risotto",https://www.cookfood.net/products/chicken-pea-bacon-risotto,6.5,6.5,0.0,Serves 1,320.0,Microwaveable | Gluten Free,704.0,2947.0,34.9,27.8,15.0,71.7,3.5,3.5,1.9,0.76,5.37,108.31,49.0
45,Chicken Korma,https://www.cookfood.net/products/chicken-korma,6.5,6.5,0.0,Serves 1 ,310.0,Microwaveable | Gluten Free,530.0,2204.0,34.7,35.3,19.5,20.5,14.3,4.7,1.725,0.69,5.34,81.54,48.0
18,Spaghetti Bolognese,https://www.cookfood.net/products/spaghetti-bolognese,6.5,6.5,0.0,Serves 1,390.0,Microwaveable,491.0,2063.0,34.6,14.8,3.7,57.7,1.6,6.2,1.55,0.62,5.32,75.54,60.0
